,question,q_code,q_name
0,R01Q00 : ตำแหน่งของพื้นที่ตรวจ,R01Q00,ตำแหน่งของพื้นที่ตรวจ
1,R01Q01 : ความกว้างของทางเท้า,R01Q01,ความกว้างของทางเท้า
2,R01Q02 : พื้นผิวทางเท้า,R01Q02,พื้นผิวทางเท้า
3,R01Q03 : สิ่งกีดขวางระดับพื้น,R01Q03,สิ่งกีดขวางระดับพื้น
4,R01Q04 : สิ่งกีดขวางระดับศีรษะ,R01Q04,สิ่งกีดขวางระดับศีรษะ
6,R01Q05 : พื้นต่างระดับ,R01Q05,พื้นต่างระดับ
7,R01Q06 : ความกว้างทางลาดบนทางเท้า,R01Q06,ความกว้างทางลาดบนทางเท้า
8,R01Q07 : ความต่างระดับบนทางเท้า,R01Q07,ความต่างระดับบนทางเท้า
10,R01Q08 : พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,R01Q08,พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด
11,R01Q09 : ราวกันตกและขอบกันตก,R01Q09,ราวกันตกและขอบกันตก
12,R01Q10 : ท่อ/รางระบายน้ำ,R01Q10,ท่อ/รางระบายน้ำ
9,R01Q15 : พื้นผิวทางลาดหรือทางปาดมุม,R01Q15,พื้นผิวทางลาดหรือทางปาดมุม
196,R01Q16 : ทางเท้า,R01Q16,ทางเท้า
5,R01Q16 : สะพานลอย,R01Q16,สะพานลอย
13,R02Q00 : ตำแหน่งของพื้นที่ตรวจ,R02Q00,ตำแหน่งของพื้นที่ตรวจ
14,R02Q01 : จุดข้ามถนน,R02Q01,จุดข้ามถนน
15,R02Q02 : สัญญาณไฟ (แสง),R02Q02,สัญญาณไฟ (แสง)
16,R02Q03 : สัญญาณไฟ (เสียง),R02Q03,สัญญาณไฟ (เสียง)
19,R02Q04 : จุดข้ามที่ไม่มีสัญญาณไฟ,R02Q04,จุดข้ามที่ไม่มีสัญญาณไฟ
17,R02Q05 : ความกว้างทางข้าม,R02Q05,ความกว้างทางข้าม
18,R02Q06 : ลูกระนาดก่อนถึงทางข้าม,R02Q06,ลูกระนาดก่อนถึงทางข้าม
20,R02Q07 : ความกว้างทางลาด,R02Q07,ความกว้างทางลาด
21,R02Q08 : ทางลาด,R02Q08,ทางลาด
22,R02Q09 : ระยะปลายทางลาดกับถนน,R02Q09,ระยะปลายทางลาดกับถนน
23,R02Q10 : พื้นผิวทางลาด,R02Q10,พื้นผิวทางลาด
24,R02Q11 : ระยะห่างจากอาคาร,R02Q11,ระยะห่างจากอาคาร
25,R02Q12 : พื้นผิวต่างสัมผัสชนิดเตือน,R02Q12,พื้นผิวต่างสัมผัสชนิดเตือน
26,R02Q13 : ป้ายสัญลักษณ์ของทางข้าม,R02Q13,ป้ายสัญลักษณ์ของทางข้าม
27,R03Q01 : ทางที่เข้าได้,R03Q01,ทางที่เข้าได้
28,R03Q02 : พื้นผิวทางลาด,R03Q02,พื้นผิวทางลาด
29,R03Q03 : ความกว้างของทางลาด,R03Q03,ความกว้างของทางลาด
30,R03Q04 : พื้นที่แลนดิ้ง,R03Q04,พื้นที่แลนดิ้ง
35,R03Q05 : ความยาวช่วงทางลาด,R03Q05,ความยาวช่วงทางลาด
36,R03Q06 : ชานพักของทางลาด,R03Q06,ชานพักของทางลาด
31,R03Q07 : ความลาดเอียง (1:12),R03Q07,ความลาดเอียง (1:12)
32,R03Q08 : ความลาดเอียง (1:15),R03Q08,ความลาดเอียง (1:15)
37,R03Q09 : ขอบกันตก,R03Q09,ขอบกันตก
38,R03Q10 : ราวกันตก,R03Q10,ราวกันตก
33,R03Q11 : พื้นผิวต่างสัมผัสชนิดเตือน,R03Q11,พื้นผิวต่างสัมผัสชนิดเตือน
39,R03Q12 : ความสูงของราวจับ,R03Q12,ความสูงของราวจับ
40,R03Q13 : ระยะยื่นเลยทางลาดของราวจับ,R03Q13,ระยะยื่นเลยทางลาดของราวจับ
41,R03Q14 : ขนาดของราวจับ,R03Q14,ขนาดของราวจับ
42,R03Q15 : ตำแหน่งราวจับที่ยึดติดผนัง,R03Q15,ตำแหน่งราวจับที่ยึดติดผนัง
34,R03Q16 : ป้ายสัญลักษณ์บอกทางลาด,R03Q16,ป้ายสัญลักษณ์บอกทางลาด
197,R03Q17 : ขอบหรือราวจับ,R03Q17,ขอบหรือราวจับ
43,R04Q01 : ลิฟต์เข้าสู่สถานี,R04Q01,ลิฟต์เข้าสู่สถานี
45,R04Q02 : พื้นผิวต่างสัมผัสชนิดเตือนหน้าลิฟต์,R04Q02,พื้นผิวต่างสัมผัสชนิดเตือนหน้าลิฟต์
46,R04Q03 : พื้นที่ว่างหน้าลิฟต์,R04Q03,พื้นที่ว่างหน้าลิฟต์
47,R04Q04 : ความสูงปุ่มกดเรียกลิฟต์ (หน้าลิฟต์),R04Q04,ความสูงปุ่มกดเรียกลิฟต์ (หน้าลิฟต์)
48,R04Q05 : อักษรเบรลล์บนปุ่มกด (หน้าลิฟต์),R04Q05,อักษรเบรลล์บนปุ่มกด (หน้าลิฟต์)
49,R04Q06 : ความกว้างประตูลิฟต์,R04Q06,ความกว้างประตูลิฟต์
50,R04Q07 : เซนเซอร์กันประตูหนีบ,R04Q07,เซนเซอร์กันประตูหนีบ
51,R04Q08 : ขนาดห้องลิฟต์,R04Q08,ขนาดห้องลิฟต์
52,R04Q09 : แผงปุ่มกดล่างในลิฟต์,R04Q09,แผงปุ่มกดล่างในลิฟต์
53,R04Q10 : ความสูงของปุ่มกดในลิฟต์,R04Q10,ความสูงของปุ่มกดในลิฟต์
54,R04Q11 : อักษรเบรลล์บนปุ่มกดในลิฟต์,R04Q11,อักษรเบรลล์บนปุ่มกดในลิฟต์
55,R04Q12 : ความสูงราวจับ,R04Q12,ความสูงราวจับ
56,R04Q13 : ราวจับ,R04Q13,ราวจับ
57,R04Q14 : เลขบอกชั้น,R04Q14,เลขบอกชั้น
58,R04Q15 : เสียงบอกชั้น,R04Q15,เสียงบอกชั้น
59,R04Q16 : ป้ายบอกชั้นและทิศทาง,R04Q16,ป้ายบอกชั้นและทิศทาง
60,R04Q17 : เสียงเตือน,R04Q17,เสียงเตือน
61,R04Q18 : ไฟกะพริบสีแดง,R04Q18,ไฟกะพริบสีแดง
62,R04Q19 : ไฟกะพริบสีเขียว,R04Q19,ไฟกะพริบสีเขียว
63,R04Q20 : โทรศัพท์ฉุกเฉิน,R04Q20,โทรศัพท์ฉุกเฉิน
64,R04Q21 : ระบบเลื่อนมาจอดระดับพื้นดิน,R04Q21,ระบบเลื่อนมาจอดระดับพื้นดิน
65,R04Q22 : ป้ายสัญลักษณ์บอกตำแหน่งลิฟต์,R04Q22,ป้ายสัญลักษณ์บอกตำแหน่งลิฟต์
44,R04Q23 : ชื่อยี่ห้อและรุ่นของลิฟท์,R04Q23,ชื่อยี่ห้อและรุ่นของลิฟท์
66,R05Q01 : เคาน์เตอร์,R05Q01,เคาน์เตอร์
67,R05Q02 : ความสูงเคาน์เตอร์ผู้พิการ,R05Q02,ความสูงเคาน์เตอร์ผู้พิการ
68,R05Q03 : ความสูงใต้เคาน์เตอร์ผู้พิการ,R05Q03,ความสูงใต้เคาน์เตอร์ผู้พิการ
69,R05Q04 : ระยะยื่นใต้เคาน์เตอร์ผู้พิการ,R05Q04,ระยะยื่นใต้เคาน์เตอร์ผู้พิการ
70,R05Q05 : เคาน์เตอร์สีตัดกัน,R05Q05,เคาน์เตอร์สีตัดกัน
72,R05Q06 : ตู้จำหน่ายตั๋ว (ทางการเห็น),R05Q06,ตู้จำหน่ายตั๋ว (ทางการเห็น)
73,R05Q08 : ตู้จำหน่ายตั๋ว (รถเข็น),R05Q08,ตู้จำหน่ายตั๋ว (รถเข็น)
71,R05Q10 : ป้ายสัญลักษณ์ของเคาน์เตอร์,R05Q10,ป้ายสัญลักษณ์ของเคาน์เตอร์
74,R05Q11 : แผนผังสถานี,R05Q11,แผนผังสถานี
198,R05Q12 : ประเภทของเคาท์เตอร์,R05Q12,ประเภทของเคาท์เตอร์
75,R06Q01 : ช่องประตูและความกว้าง,R06Q01,ช่องประตูและความกว้าง
76,R06Q02 : สีตัดกันของประตู,R06Q02,สีตัดกันของประตู
77,R06Q03 : ป้ายสัญลักษณ์ช่องทางเข้าสำหรับผู้พิการ,R06Q03,ป้ายสัญลักษณ์ช่องทางเข้าสำหรับผู้พิการ
78,R06Q04 : ธรณีประตู,R06Q04,ธรณีประตู
79,R06Q05 : พื้นที่ว่างด้านหน้าประตู,R06Q05,พื้นที่ว่างด้านหน้าประตู
80,R06Q06 : น้ำหนักการเปิด,R06Q06,น้ำหนักการเปิด
82,R06Q07 : ชนิดของมือจับประตู,R06Q07,ชนิดของมือจับประตู
83,R06Q08 : ราวจับแนวนอน,R06Q08,ราวจับแนวนอน
84,R06Q09 : ประตูบานกระจก,R06Q09,ประตูบานกระจก
199,R06Q09 : ประตูบานกระจก.1,R06Q09,ประตูบานกระจก.1
85,R06Q10 : ประตูบานเลื่อน,R06Q10,ประตูบานเลื่อน
86,R06Q11 : ประตูอัตโนมัติ,R06Q11,ประตูอัตโนมัติ
81,R06Q13 : เลือกรูปแบบประตู,R06Q13,เลือกรูปแบบประตู
87,R07Q01 : ความกว้างของบันได,R07Q01,ความกว้างของบันได
88,R07Q02 : ชานพัก,R07Q02,ชานพัก
89,R07Q03 : พื้นผิว,R07Q03,พื้นผิว
90,R07Q04 : ช่องโล่ง,R07Q04,ช่องโล่ง
91,R07Q05 : ลูกตั้ง,R07Q05,ลูกตั้ง
92,R07Q06 : ลูกนอน,R07Q06,ลูกนอน
93,R07Q07 : ระยะเหลื่อมกัน,R07Q07,ระยะเหลื่อมกัน
94,R07Q08 : ป้ายแสดงทิศทาง,R07Q08,ป้ายแสดงทิศทาง
95,R07Q09 : พื้นผิวต่างสัมผัสชนิดเตือน,R07Q09,พื้นผิวต่างสัมผัสชนิดเตือน
96,R07Q10 : ความสูงของราวบันได,R07Q10,ความสูงของราวบันได
97,R07Q11 : ขนาดของราวบันได,R07Q11,ขนาดของราวบันได
98,R07Q12 : ราวบันไดที่ยึดติดกับผนัง,R07Q12,ราวบันไดที่ยึดติดกับผนัง
99,R07Q13 : ความเร็วบันไดเลื่อน,R07Q13,ความเร็วบันไดเลื่อน
100,R08Q01 : ความกว้างของทางเดิน,R08Q01,ความกว้างของทางเดิน
101,R08Q02 : สิ่งกีดขวางทางเดิน,R08Q02,สิ่งกีดขวางทางเดิน
102,R08Q03 : สิ่งกีดขวางระดับศีรษะ,R08Q03,สิ่งกีดขวางระดับศีรษะ
103,R08Q05 : ความต่างระดับบนทางเดิน,R08Q05,ความต่างระดับบนทางเดิน
104,R08Q06 : ท่อระบายน้ำหรือรางระบายน้ำ,R08Q06,ท่อระบายน้ำหรือรางระบายน้ำ
105,R08Q07 : พื้นผิวต่างสัมผัสชนิดเตือน,R08Q07,พื้นผิวต่างสัมผัสชนิดเตือน
106,R08Q08 : ราวหรือผนังกันตก,R08Q08,ราวหรือผนังกันตก
107,R09Q01 : จำนวนห้องส้วมและความกว้างของประตู,R09Q01,จำนวนห้องส้วมและความกว้างของประตู
108,R09Q02 : สัญลักษณ์ที่ประตู,R09Q02,สัญลักษณ์ที่ประตู
109,R09Q03 : สีตัดกันของประตู,R09Q03,สีตัดกันของประตู
110,R09Q04 : ธรณีประตู,R09Q04,ธรณีประตู
111,R09Q05 : พื้นที่ว่างด้านหน้าประตู,R09Q05,พื้นที่ว่างด้านหน้าประตู
112,R09Q06 : น้ำหนักการเปิด,R09Q06,น้ำหนักการเปิด
114,R09Q07 : ชนิดของมือจับประตู,R09Q07,ชนิดของมือจับประตู
115,R09Q08 : ราวจับแนวนอน,R09Q08,ราวจับแนวนอน
116,R09Q09 : ประตูบานกระจก,R09Q09,ประตูบานกระจก
200,R09Q09 : ประตูบานกระจก.1,R09Q09,ประตูบานกระจก.1
117,R09Q10 : ประตูบานเลื่อน,R09Q10,ประตูบานเลื่อน
118,R09Q11 : ประตูอัตโนมัติ,R09Q11,ประตูอัตโนมัติ
119,R09Q12 : อักษรเบรลล์แสดงเพศ,R09Q12,อักษรเบรลล์แสดงเพศ
120,R09Q13 : พื้นที่หมุนตัว,R09Q13,พื้นที่หมุนตัว
121,R09Q14 : พื้นผิวห้องส้วม,R09Q14,พื้นผิวห้องส้วม
122,R09Q15 : สวิตช์ไฟ,R09Q15,สวิตช์ไฟ
123,R09Q16 : โถส้วม,R09Q16,โถส้วม
124,R09Q17 : ที่ปล่อยน้ำ,R09Q17,ที่ปล่อยน้ำ
125,R09Q18 : ราวจับแนวนอน (ชิดผนัง),R09Q18,ราวจับแนวนอน (ชิดผนัง)
126,R09Q19 : ราวจับแนวดิ่ง (ชิดผนัง),R09Q19,ราวจับแนวดิ่ง (ชิดผนัง)
127,R09Q20 : ราวจับข้างโถส้วม,R09Q20,ราวจับข้างโถส้วม
128,R09Q21 : ความสูงอ่างล้างมือ,R09Q21,ความสูงอ่างล้างมือ
129,R09Q22 : ระยะสอดเข่า,R09Q22,ระยะสอดเข่า
130,R09Q23 : ราวจับข้างอ่างล้างมือ,R09Q23,ราวจับข้างอ่างล้างมือ
131,R09Q24 : ก๊อกน้ำ,R09Q24,ก๊อกน้ำ
135,R09Q25 : สัญญาณแสงแจ้งภัย,R09Q25,สัญญาณแสงแจ้งภัย
136,R09Q26 : สัญญาณเสียงแจ้งภัย,R09Q26,สัญญาณเสียงแจ้งภัย
137,R09Q27 : เมื่อมีเหตุฉุกเฉิน,R09Q27,เมื่อมีเหตุฉุกเฉิน
132,R09Q28 : โถปัสสาวะชาย,R09Q28,โถปัสสาวะชาย
133,R09Q29 : ราวจับด้านบน,R09Q29,ราวจับด้านบน
134,R09Q30 : ราวจับด้านข้าง,R09Q30,ราวจับด้านข้าง
138,R09Q31 : ป้ายสัญลักษณ์,R09Q31,ป้ายสัญลักษณ์
113,R09Q32 : เลือกรูปแบบประตูห้องน้ำ,R09Q32,เลือกรูปแบบประตูห้องน้ำ
139,R10Q01 : จำนวนของช่องจอด,R10Q01,จำนวนของช่องจอด
140,R10Q02 : ระยะห่าง,R10Q02,ระยะห่าง
141,R10Q03 : การวางตำแหน่ง,R10Q03,การวางตำแหน่ง
142,R10Q04 : โลโก้,R10Q04,โลโก้
143,R10Q05 : ขนาดของที่จอดรถ,R10Q05,ขนาดของที่จอดรถ
144,R10Q06 : ที่ว่างข้างที่จอดรถ,R10Q06,ที่ว่างข้างที่จอดรถ
145,R10Q07 : ป้ายแนวตั้ง,R10Q07,ป้ายแนวตั้ง
146,R10Q08 : ป้ายสัญลักษณ์ของที่จอดรถผู้พิการ,R10Q08,ป้ายสัญลักษณ์ของที่จอดรถผู้พิการ
147,R11Q01 : จำนวนตู้โทรศัพท์ผู้พิการ,R11Q01,จำนวนตู้โทรศัพท์ผู้พิการ
148,R11Q02 : จำนวนตู้โทรศัพท์ผู้พิการทางการได้ยิน (TTRS),R11Q02,จำนวนตู้โทรศัพท์ผู้พิการทางการได้ยิน (TTRS)
149,R11Q03 : พื้นที่ว่างด้านหน้า,R11Q03,พื้นที่ว่างด้านหน้า
150,R11Q04 : ความสูงของโทรศัพท์,R11Q04,ความสูงของโทรศัพท์
151,R11Q05 : ช่องหยอดเหรียญ/เสียบบัตร,R11Q05,ช่องหยอดเหรียญ/เสียบบัตร
152,R11Q06 : สายโทรศัพท์,R11Q06,สายโทรศัพท์
153,R11Q07 : ปุ่มกด,R11Q07,ปุ่มกด
154,R11Q08 : ตำแหน่ง,R11Q08,ตำแหน่ง
155,R11Q09 : เครื่องช่วยฟัง/ขยายเสียง,R11Q09,เครื่องช่วยฟัง/ขยายเสียง
156,R11Q10 : ป้ายสัญลักษณ์แสดงตำแหน่งตู้โทรศัพท์,R11Q10,ป้ายสัญลักษณ์แสดงตำแหน่งตู้โทรศัพท์
201,R12Q00 : รูปแบบสถานี,R12Q00,รูปแบบสถานี
157,R12Q01 : ความกว้างของบริเวณแพลตฟอร์ม,R12Q01,ความกว้างของบริเวณแพลตฟอร์ม
158,R12Q02 : พื้นผิวของชานชาลา,R12Q02,พื้นผิวของชานชาลา
159,R12Q03 : สิ่งกีดขวางระดับพื้น,R12Q03,สิ่งกีดขวางระดับพื้น
160,R12Q04 : สิ่งกีดขวางระดับศีรษะ,R12Q04,สิ่งกีดขวางระดับศีรษะ
161,R12Q05 : พื้นผิวต่างสัมผัสชนิดเตือน,R12Q05,พื้นผิวต่างสัมผัสชนิดเตือน
162,R12Q06 : ท่อระบายน้ำ,R12Q06,ท่อระบายน้ำ
163,R12Q07 : ทางเลี้ยวหรือทางแยก,R12Q07,ทางเลี้ยวหรือทางแยก
164,R12Q08 : ประตูกั้นชานชาลา,R12Q08,ประตูกั้นชานชาลา
165,R12Q09 : ป้ายแจ้งเวลาที่พาหนะจะมาถึง (ภาษาที่ใช้บนหน้าจอ),R12Q09,ป้ายแจ้งเวลาที่พาหนะจะมาถึง (ภาษาที่ใช้บนหน้าจอ)
166,R12Q10 : ป้ายแจ้งเวลาที่พาหนะจะมาถึง (เสียงที่ใช้),R12Q10,ป้ายแจ้งเวลาที่พาหนะจะมาถึง (เสียงที่ใช้)
167,R12Q11 : เสียงประกาศแจ้งชื่อสถานี,R12Q11,เสียงประกาศแจ้งชื่อสถานี
168,R12Q12 : ป้ายตัวอักษรแจ้งชื่อสถานี,R12Q12,ป้ายตัวอักษรแจ้งชื่อสถานี
169,R12Q13 : ป้ายสัญลักณ์บอกทิศทางเดินรถ,R12Q13,ป้ายสัญลักณ์บอกทิศทางเดินรถ
202,R12Q14 : การเชื่อมต่อจากชานชาลาสู่พาหนะ,R12Q14,การเชื่อมต่อจากชานชาลาสู่พาหนะ
170,R13Q01 : ช่องว่าง (Gap),R13Q01,ช่องว่าง (Gap)
171,R13Q02 : อุปกรณ์ปิดช่องว่างอัตโนมัติ,R13Q02,อุปกรณ์ปิดช่องว่างอัตโนมัติ
172,R13Q03 : ความกว้างของประตู,R13Q03,ความกว้างของประตู
173,R13Q04 : ราวจับ,R13Q04,ราวจับ
174,R13Q08 : สัญลักษณ์รูปคนพิการนอกตัวรถ,R13Q08,สัญลักษณ์รูปคนพิการนอกตัวรถ
175,R13Q09 : อุปกรณ์นำพาขึ้นและลงจากยานพาหนะ,R13Q09,อุปกรณ์นำพาขึ้นและลงจากยานพาหนะ
176,R15Q01 : คู่มือการช่วยคนพิการ,R15Q01,คู่มือการช่วยคนพิการ
177,R15Q02 : คู่มือแปลภาษา,R15Q02,คู่มือแปลภาษา
178,R15Q04 : อบรมเจ้าหน้าที่,R15Q04,อบรมเจ้าหน้าที่
179,R15Q05 : ความรู้ของเจ้าหน้าที่,R15Q05,ความรู้ของเจ้าหน้าที่
180,R15Q06 : ภาษาซึ่งแสดงความเคารพ,R15Q06,ภาษาซึ่งแสดงความเคารพ
181,R17Q06 : จำนวนที่นั่งสำหรับคนพิการ,R17Q06,จำนวนที่นั่งสำหรับคนพิการ
182,R17Q07 : ราวจับข้างที่นั่ง,R17Q07,ราวจับข้างที่นั่ง
183,R17Q08 : ป้ายแสดงตำแหน่งที่นั่ง,R17Q08,ป้ายแสดงตำแหน่งที่นั่ง
184,R17Q09 : สัญลักษณ์รูปคนพิการ,R17Q09,สัญลักษณ์รูปคนพิการ
185,R17Q10 : ข้อความกำหนด,R17Q10,ข้อความกำหนด
186,R17Q11 : การแจ้งสถานีถัดไป (เสียง),R17Q11,การแจ้งสถานีถัดไป (เสียง)
187,R17Q12 : การแจ้งสถานีถัดไป (ป้าย),R17Q12,การแจ้งสถานีถัดไป (ป้าย)
188,R18Q00 : รูปแบบทางออกฉุกเฉิน,R18Q00,รูปแบบทางออกฉุกเฉิน
205,R18Q01 : ความกว้างเส้นทางออกฉุกเฉิน,R18Q01,ความกว้างเส้นทางออกฉุกเฉิน
189,R18Q02 : สภาพพื้นผิวภายในอาคาร,R18Q02,สภาพพื้นผิวภายในอาคาร
190,R18Q03 : ความต่างระดับในพื้นที่,R18Q03,ความต่างระดับในพื้นที่
191,R18Q04 : สิ่งกีดขวางระดับพื้น,R18Q04,สิ่งกีดขวางระดับพื้น
192,R18Q05 : สิ่งกีดขวางระดับศีรษะ,R18Q05,สิ่งกีดขวางระดับศีรษะ
193,R18Q06 : ป้ายแสดงเส้นทางและสัญลักษณ์,R18Q06,ป้ายแสดงเส้นทางและสัญลักษณ์
194,R18Q07 : สัญญาณแจ้งเมื่อมีเหตุฉุกเฉิน,R18Q07,สัญญาณแจ้งเมื่อมีเหตุฉุกเฉิน
195,R18Q08 : จุดรวมพล,R18Q08,จุดรวมพล
203,R19Q01 : รูปแบบการให้บริการเชื่อมต่อกับตัวเมือง,R19Q01,รูปแบบการให้บริการเชื่อมต่อกับตัวเมือง
204,R19Q02 : ตำแหน่งจุดจอดรับส่ง,R19Q02,ตำแหน่งจุดจอดรับส่ง
