Station Name,Station Type,Province,Lat,Lon,Coordinate,PTAI,AI,II,IFI,OVERALL,OA,OI,Level,All item checked,Facilites checked,Area checked,P items,M items,D items,IS1 items,IS2 items,IS3 items,X1 items,X2 items,X4 items
สถานีขนส่งผู้โดยสารจังหวัดตรัง,bus,ตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",0.3,0.67,0.0,3.24,55.32,63.333333333333336,47.3,2,190,15,32,97,34,59,106,48,26,116,42,22
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,bus,นครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",0.0,0.0,0.01,3.56,47.91,45.714285714285715,50.1,2,234,14,37,100,41,93,141,68,21,157,45,28
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,bus,นราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",0.3,0.59,0.04,3.36,56.22,61.75,50.7,2,262,16,37,159,39,64,134,87,31,141,67,44
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,bus,ปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",0.4,0.75,0.0,3.35,57.28,65.0625,49.5,2,358,16,46,206,55,97,181,117,49,192,93,62
สถานีขนส่งผู้โดยสารจังหวัดพังงา,bus,พังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",0.4,0.79,0.0,3.51,56.88,65.5625,48.2,2,331,16,44,181,69,81,181,120,26,208,65,54
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,bus,พัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",0.4,0.71,0.0,3.43,56.16,64.125,48.2,2,253,16,30,148,34,71,141,72,33,145,63,38
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,bus,ภูเก็ต,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",0.7,0.87,0.57,3.56,64.43,67.46666666666667,61.4,2,259,15,35,142,52,65,154,81,21,167,54,35
สถานีขนส่งผู้โดยสารจังหวัดระนอง,bus,ระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",0.3,0.53,0.16,3.7,56.84,60.57142857142857,53.1,2,258,14,33,145,28,85,133,111,11,134,64,57
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,bus,สุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",0.6,1.08,0.11,3.65,59.94,67.78571428571429,52.1,2,273,14,30,138,56,79,175,82,14,168,64,39
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),bus,ชุมพร,10.4869959,99.1206392,"10.4869959,99.1206392",0.2,0.47,0.0,3.49,54.57,59.333333333333336,49.8,2,164,12,22,86,20,58,98,47,16,106,30,25
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,bus,ยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",0.1,0.21,0.0,3.34,48.21,54.11764705882353,42.3,2,254,17,39,132,32,90,121,85,37,134,62,47
สถานีขนส่งสตูล,ferry,สตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",0.3,0.64,0.0,3.35,55.78,62.86666666666667,48.7,2,169,15,24,101,22,46,94,44,25,100,37,26
สถานีขนส่งหาดใหญ่,bus,สงขลา,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",0.3,0.57,0.0,3.44,54.58,61.46666666666667,47.7,2,212,15,33,100,38,74,126,52,30,132,44,32
สถานีรถไฟชุมทางทุ่งสง,train,นครศรีธรรมราช,8.170674,99.679337,"8.170674,99.679337",0.4,0.74,0.14,3.54,58.75,64.8,52.7,2,270,15,34,136,54,80,163,79,21,173,49,41
สถานีรถไฟชุมทางหาดใหญ่,train,สงขลา,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",0.5,0.79,0.16,3.5,59.46,65.71428571428571,53.2,2,250,14,32,138,37,75,150,69,25,159,54,31
สถานีรถไฟชุมพร,train,ชุมพร,10.502997,99.175949,"10.502997,99.175949",0.1,0.28,0.0,3.19,50.51,55.625,45.4,2,264,16,33,99,69,96,140,60,51,167,47,37
สถานีรถไฟตรัง,train,ตรัง,7.55448,99.6046,"7.55448,99.6046",0.4,0.84,0.02,3.43,58.62,66.75,50.5,2,206,16,26,121,25,60,124,50,26,133,41,26
สถานีรถไฟปัตตานี (โคกโพธิ์),train,ปัตตานี,6.72947,101.094,"6.72947,101.094",0.2,0.37,0.06,3.36,54.34,57.470588235294116,51.2,2,181,17,29,92,33,56,99,50,24,114,29,30
สถานีรถไฟพัทลุง,train,พัทลุง,7.620982000000001,100.0856112,"7.620982000000001,100.0856112",1.0,1.7,0.24,3.48,65.15,75.6,54.7,2,208,15,26,131,35,42,124,55,24,133,46,24
สถานีรถไฟยะลา,train,ยะลา,6.560467699999999,101.29282020000001,"6.560467699999999,101.29282020000001",0.3,0.55,0.0,3.42,52.12,60.94117647058823,43.3,2,307,17,39,121,60,126,168,93,39,193,64,43
สถานีรถไฟสุราษฎร์ธานี,train,สุราษฎร์ธานี,9.104137,99.23048,"9.104137,99.23048",0.3,0.44,0.21,3.43,56.48,58.86666666666667,54.1,2,218,15,33,113,45,60,111,74,23,121,50,37
สถานีรถไฟสุไหงโก-ลก,train,นราธิวาส,6.02571,101.963,"6.02571,101.963",0.4,0.8,0.09,3.54,58.9,66.0,51.8,2,322,17,40,168,55,99,170,124,21,178,76,61
ท่าอากาศยานกระบี่,airport,กระบี่,8.099280199999999,98.98319479999999,"8.099280199999999,98.98319479999999",0.8,0.83,0.69,3.57,65.19,66.6875,63.7,3,489,16,58,292,65,132,295,157,34,313,108,65
ท่าอากาศยานชุมพร,airport,ชุมพร,10.714486099999998,99.3587278,"10.714486099999998,99.3587278",0.8,1.08,0.42,3.58,64.1,69.8,58.4,3,515,15,59,302,64,149,283,197,32,326,104,82
ท่าอากาศยานตรัง,airport,ตรัง,7.512011,99.61547,"7.512011,99.61547",0.5,0.83,0.19,3.51,60.19,66.57142857142857,53.8,3,354,14,41,226,49,79,201,121,26,212,87,49
ท่าอากาศยานนครศรีธรรมราช,airport,นครศรีธรรมราช,8.540025,99.9399875,"8.540025,99.9399875",0.5,0.36,0.57,3.54,59.29,57.1875,61.4,3,670,16,83,413,89,168,346,275,43,381,178,105
ท่าอากาศยานนราธิวาส,airport,นราธิวาส,6.5231381,101.74872459999999,"6.5231381,101.74872459999999",0.2,0.43,0.0,3.53,51.93,58.5625,45.3,3,300,16,42,147,51,102,173,113,9,190,65,40
ท่าอากาศยานนานาชาติภูเก็ต,airport,ภูเก็ต,8.1110951,98.3064646,"8.1110951,98.3064646",0.9,1.1,0.64,3.61,65.81,68.92857142857143,62.7,3,613,14,81,386,86,141,386,185,36,370,172,65
ท่าอากาศยานนานาชาติสุราษฎร์ธานี,airport,สุราษฎร์ธานี,9.135717300000001,99.14131479999999,"9.135717300000001,99.14131479999999",0.6,1.0,0.19,3.57,61.9,70.0,53.8,3,1135,16,103,666,192,277,673,368,82,660,313,150
ท่าอากาศยานหาดใหญ่,airport,สงขลา,6.936216099999999,100.3937206,"6.936216099999999,100.3937206",1.5,2.32,0.69,3.49,72.4,81.0,63.8,3,866,16,80,607,110,149,532,245,82,556,218,85
ท่าอากาศยานเบตง,airport,ยะลา,5.7859551,101.1475264,"5.7859551,101.1475264",0.4,0.61,0.29,3.55,58.98,62.25,55.7,3,562,16,68,352,80,130,335,197,25,386,114,57
ท่าเทียบเรือปากเมง,ferry,ตรัง,7.507745,99.31208000000001,"7.507745,99.31208000000001",0.0,0.08,0.0,3.26,45.23,51.666666666666664,38.8,3,142,12,20,69,20,53,69,43,23,76,34,25
ท่าเทียบเรือศุลกากร ระนอง,ferry,ระนอง,9.9814236,98.6001052,"9.9814236,98.6001052",0.0,0.0,0.0,3.42,42.0,41.294117647058826,42.7,3,309,17,42,144,43,122,154,109,38,181,76,44
ท่าเทียบเรือหลักเมือง,ferry,ปัตตานี,6.8690239,101.2529468,"6.8690239,101.2529468",0.0,0.0,0.0,3.31,42.9,50.0,35.8,3,67,10,12,32,10,25,30,12,21,38,15,10
ท่าเรือข้ามฟากสงขลา (ฝั่งสงขลา),ferry,สงขลา,7.2180985,100.57996240000001,"7.2180985,100.57996240000001",0.3,0.52,0.0,3.22,50.75,60.5,41.0,3,43,6,7,20,11,12,23,10,7,22,13,5
ท่าเรือข้ามฟากสงขลา (ฝั่งหัวเขาแดง),ferry,สงขลา,7.2209686,100.5748434,"7.2209686,100.5748434",0.0,0.0,0.0,3.27,24.6,24.6,24.6,3,25,5,6,6,4,15,9,6,7,9,9,4
ท่าเรือคงคา,ferry,กระบี่,8.061873,98.919443,"8.061873,98.919443",0.0,0.08,0.0,3.41,44.84,51.583333333333336,38.1,3,107,12,16,43,12,52,55,32,15,61,25,16
ท่าเรือทุ่งมะขามน้อย,ferry,ชุมพร,10.3583753,99.2662816,"10.3583753,99.2662816",0.3,0.61,0.0,3.57,53.17,62.142857142857146,44.2,3,226,14,30,105,24,97,126,76,20,123,63,36
ท่าเรือปากบารา,ferry,สตูล,6.8603952,99.7216042,"6.8603952,99.7216042",0.3,0.55,0.0,3.48,48.95,61.0,36.9,3,351,9,40,187,38,126,197,118,36,223,83,45
ท่าเรือรัษฎา,ferry,ภูเก็ต,7.8712791,98.4143437,"7.8712791,98.4143437",0.3,0.51,0.0,3.44,52.07,60.13333333333333,44.0,3,453,15,53,226,54,173,243,150,57,272,106,72
ท่าเรือสวนเจ้าฟ้า,ferry,กระบี่,8.0630289,98.91930119999999,"8.0630289,98.91930119999999",0.2,0.32,0.0,3.45,48.3,56.5,40.1,3,118,10,15,57,7,54,62,30,23,67,29,19
ท่าเรือสุระกุล,ferry,พังงา,8.390053446,98.46033096,"8.390053446,98.46033096",0.0,0.0,0.0,3.51,35.56,33.916666666666664,37.2,3,153,12,21,69,12,72,74,67,10,77,43,31
สถานีขนส่งผู้โดยสารจังหวัดกระบี่,bus,กระบี่,8.0998704,98.90585390000001,"8.0998704,98.90585390000001",0.3,0.52,0.0,3.45,53.78,60.357142857142854,47.2,3,413,14,45,217,64,132,201,173,28,215,112,75
สถานีขนส่งผู้โดยสารจังหวัดตรัง,bus,ตรัง,7.566780199999999,99.6278764,"7.566780199999999,99.6278764",0.3,0.61,0.0,3.31,53.57,62.13333333333333,45.0,3,213,15,32,98,34,81,127,48,28,136,45,22
สถานีขนส่งผู้โดยสารจังหวัดนครศรีธรรมราช,bus,นครศรีธรรมราช,8.4352857,99.95228370000001,"8.4352857,99.95228370000001",0.0,0.0,0.0,3.56,46.13,43.857142857142854,48.4,3,263,14,37,102,44,117,162,72,25,176,53,30
สถานีขนส่งผู้โดยสารจังหวัดนราธิวาส,bus,นราธิวาส,6.410893799999999,101.8261222,"6.410893799999999,101.8261222",0.3,0.51,0.0,3.36,54.29,60.1875,48.4,3,286,16,37,163,39,84,147,94,35,153,77,46
สถานีขนส่งผู้โดยสารจังหวัดปัตตานี,bus,ปัตตานี,6.862338900000001,101.2696499,"6.862338900000001,101.2696499",0.3,0.65,0.0,3.34,55.43,63.0625,47.8,3,388,16,46,214,57,117,194,128,55,202,109,66
สถานีขนส่งผู้โดยสารจังหวัดพังงา,bus,พังงา,8.432091,98.52278299999999,"8.432091,98.52278299999999",0.4,0.7,0.0,3.49,54.68,64.0625,45.3,3,361,16,44,184,71,106,196,130,31,221,80,56
สถานีขนส่งผู้โดยสารจังหวัดพัทลุง,bus,พัทลุง,7.6322079,100.04726190000001,"7.6322079,100.04726190000001",0.3,0.58,0.0,3.42,53.78,61.5625,46.0,3,276,16,30,150,34,92,153,79,37,155,74,40
สถานีขนส่งผู้โดยสารจังหวัดภูเก็ต แห่งที่ 2,bus,ภูเก็ต,7.9178428,98.39493900000001,"7.9178428,98.39493900000001",0.6,0.77,0.46,3.55,62.25,65.4,59.1,3,285,15,35,144,56,85,170,87,25,181,64,37
สถานีขนส่งผู้โดยสารจังหวัดระนอง,bus,ระนอง,9.9548572,98.6387998,"9.9548572,98.6387998",0.2,0.42,0.0,3.64,54.21,58.42857142857143,50.0,3,285,14,33,148,29,108,141,126,15,142,81,59
สถานีขนส่งผู้โดยสารจังหวัดสุราษฎร์ธานี,bus,สุราษฎร์ธานี,9.111613400000001,99.2983044,"9.111613400000001,99.2983044",0.4,0.88,0.01,3.61,58.22,66.14285714285714,50.3,3,295,14,30,139,60,96,184,91,18,176,76,41
สถานีขนส่งผู้โดยสารปฐมพร (บขส.ชุมพร),bus,ชุมพร,10.4869959,99.1206392,"10.4869959,99.1206392",0.2,0.33,0.0,3.47,51.69,56.583333333333336,46.8,3,185,12,22,86,21,78,110,52,20,118,37,27
สถานีขนส่งผู้โดยสารเทศบาลนครยะลา,bus,ยะลา,6.5559716,101.2682503,"6.5559716,101.2682503",0.1,0.17,0.0,3.33,46.86,53.411764705882355,40.3,3,279,17,39,136,33,110,134,91,43,146,71,51
สถานีขนส่งสตูล,ferry,สตูล,6.597249000000001,100.066571,"6.597249000000001,100.066571",0.3,0.53,0.0,3.34,53.33,60.666666666666664,46.0,3,189,15,24,103,22,64,107,45,31,112,41,30
สถานีขนส่งหาดใหญ่,bus,สงขลา,6.9946619000000005,100.48195009999999,"6.9946619000000005,100.48195009999999",0.2,0.48,0.0,3.39,51.97,59.53333333333333,44.4,3,244,15,33,102,39,103,143,56,41,147,53,40
สถานีรถไฟชุมทางทุ่งสง,train,นครศรีธรรมราช,8.170674,99.679337,"8.170674,99.679337",0.4,0.69,0.02,3.51,57.15,63.8,50.5,3,304,15,34,141,63,100,181,86,30,190,62,45
สถานีรถไฟชุมทางหาดใหญ่,train,สงขลา,7.0039039999999995,100.467676,"7.0039039999999995,100.467676",0.4,0.76,0.09,3.51,58.51,65.21428571428571,51.8,3,276,14,32,141,47,88,167,74,29,173,66,31
สถานีรถไฟชุมพร,train,ชุมพร,10.502997,99.175949,"10.502997,99.175949",0.1,0.21,0.0,3.19,49.01,54.125,43.9,3,285,16,33,102,72,111,154,61,57,175,56,41
สถานีรถไฟตรัง,train,ตรัง,7.55448,99.6046,"7.55448,99.6046",0.4,0.78,0.0,3.42,57.15,65.5,48.8,3,226,16,26,124,31,71,137,52,31,144,48,28
สถานีรถไฟปัตตานี (โคกโพธิ์),train,ปัตตานี,6.72947,101.094,"6.72947,101.094",0.1,0.29,0.0,3.33,51.4,55.705882352941174,47.1,3,206,17,29,93,34,79,114,52,32,128,36,34
สถานีรถไฟพัทลุง,train,พัทลุง,7.620982000000001,100.0856112,"7.620982000000001,100.0856112",0.8,1.5,0.18,3.5,64.17,74.73333333333333,53.6,3,225,15,26,134,40,51,135,59,26,141,55,24
สถานีรถไฟยะลา,train,ยะลา,6.560467699999999,101.29282020000001,"6.560467699999999,101.29282020000001",0.2,0.47,0.0,3.4,50.89,59.470588235294116,42.3,3,329,17,39,125,62,142,180,97,45,201,74,47
สถานีรถไฟสุราษฎร์ธานี,train,สุราษฎร์ธานี,9.104137,99.23048,"9.104137,99.23048",0.2,0.37,0.09,3.42,54.62,57.333333333333336,51.9,3,244,15,33,118,47,79,126,79,29,135,60,39
สถานีรถไฟสุไหงโก-ลก,train,นราธิวาส,6.02571,101.963,"6.02571,101.963",0.4,0.74,0.0,3.52,57.3,64.70588235294117,49.9,3,356,17,40,173,57,126,185,137,27,192,94,63
